iter	Passed	Remaining
345	2223	7417
346	2234	7423
347	2239	7413
348	2244	7401
349	2252	7400
350	2259	7395
351	2271	7406
352	2277	7401
353	2286	7403
354	2295	7404
355	2302	7399
356	2307	7388
357	2320	7402
358	2328	7400
359	2334	7392
360	2339	7382
361	2349	7386
362	2357	7383
363	2365	7383
364	2371	7374
365	2380	7376
366	2389	7377
367	2399	7379
368	2405	7372
369	2417	7382
370	2431	7398
371	2437	7392
372	2446	7391
373	2451	7380
374	2461	7384
375	2468	7378
376	2473	7368
377	2477	7352
378	2482	7341
379	2487	7331
380	2493	7323
381	2498	7312
382	2504	7303
383	2507	7287
384	2512	7277
385	2517	7265
386	2522	7255
387	2528	7247
388	2533	7236
389	2539	7226
390	2544	7216
391	2549	7205
392	2555	7197
393	2562	7191
394	2569	7186
395	2575	7181
396	2582	7175
397	2590	7173
398	2598	7169
399	2605	7165
400	2614	7166
401	2621	7161
402	2627	7152
403	2633	7143
404	2638	7132
405	2643	7122
406	2648	7112
407	2654	7104
408	2659	7095
409	2664	7084
410	2688	7124
411	2695	7119
412	2702	7112
413	2709	7107
414	2717	7103
415	2724	7099
416	2731	7093
417	2738	7089
418	2745	7083
419	2753	7080
420	2761	7078
421	2770	7076
422	2777	7071
